"No.","Time","Source","Destination","Protocol","Length","Info"
"49","0.457557","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=42726 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"50","0.457558","45.56.99.101","192.168.1.27","TCP","1226","80  >  51952 [PSH, ACK] Seq=44186 Ack=77 Win=64240 Len=1172 [TCP PDU reassembled in 616]"
"51","0.457753","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=45358 Win=64240 Len=0"
"52","0.462136","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=45358 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"53","0.462139","45.56.99.101","192.168.1.27","TCP","1322","80  >  51952 [PSH, ACK] Seq=46818 Ack=77 Win=64240 Len=1268 [TCP PDU reassembled in 616]"
"54","0.462296","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=48086 Win=64240 Len=0"
"55","0.463383","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=48086 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"56","0.463386","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=49546 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"57","0.463387","45.56.99.101","192.168.1.27","TCP","1226","80  >  51952 [PSH, ACK] Seq=51006 Ack=77 Win=64240 Len=1172 [TCP PDU reassembled in 616]"
"58","0.463561","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=52178 Win=64240 Len=0"
"59","0.464688","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=52178 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"60","0.464691","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=53638 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"61","0.464693","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=55098 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"62","0.464700","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=56558 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"63","0.464703","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=58018 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"64","0.464705","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=59478 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"65","0.464706","45.56.99.101","192.168.1.27","TCP","842","80  >  51952 [PSH, ACK] Seq=60938 Ack=77 Win=64240 Len=788 [TCP PDU reassembled in 616]"
"66","0.464945","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=61726 Win=64240 Len=0"
"67","0.470156","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=61726 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"68","0.470159","45.56.99.101","192.168.1.27","TCP","1322","80  >  51952 [PSH, ACK] Seq=63186 Ack=77 Win=64240 Len=1268 [TCP PDU reassembled in 616]"
"69","0.470305","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=64454 Win=64240 Len=0"
"70","0.479255","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=64454 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"71","0.479260","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=65914 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"72","0.479261","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=67374 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"73","0.479263","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=68834 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"74","0.479278","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=70294 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"75","0.479283","45.56.99.101","192.168.1.27","TCP","938","80  >  51952 [PSH, ACK] Seq=71754 Ack=77 Win=64240 Len=884 [TCP PDU reassembled in 616]"
"76","0.479687","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=72638 Win=64240 Len=0"
"77","0.484333","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=72638 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"78","0.484338","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=74098 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"79","0.484339","45.56.99.101","192.168.1.27","TCP","1226","80  >  51952 [PSH, ACK] Seq=75558 Ack=77 Win=64240 Len=1172 [TCP PDU reassembled in 616]"
"80","0.484420","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=76730 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"81","0.484423","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=78190 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"82","0.484424","45.56.99.101","192.168.1.27","TCP","1226","80  >  51952 [PSH, ACK] Seq=79650 Ack=77 Win=64240 Len=1172 [TCP PDU reassembled in 616]"
"83","0.484789","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=80822 Win=64240 Len=0"
"84","0.494747","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=80822 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"85","0.494751","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=82282 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"86","0.494752","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=83742 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"87","0.494754","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=85202 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"88","0.494758","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=86662 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"89","0.494760","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=88122 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"90","0.494766","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=89582 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"91","0.494769","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=91042 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"92","0.494771","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=92502 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"93","0.494772","45.56.99.101","192.168.1.27","TCP","554","80  >  51952 [PSH, ACK] Seq=93962 Ack=77 Win=64240 Len=500 [TCP PDU reassembled in 616]"
"94","0.495146","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=94462 Win=64240 Len=0"
"95","0.525064","45.56.99.101","192.168.1.27","TCP","1418","80  >  51952 [PSH, ACK] Seq=94462 Ack=77 Win=64240 Len=1364 [TCP PDU reassembled in 616]"
"96","0.532153","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=95826 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"97","0.532157","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=97286 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"98","0.532158","45.56.99.101","192.168.1.27","TCP","1226","80  >  51952 [PSH, ACK] Seq=98746 Ack=77 Win=64240 Len=1172 [TCP PDU reassembled in 616]"
"99","0.532377","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=99918 Win=64240 Len=0"
"100","0.540303","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=99918 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"101","0.540308","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=101378 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"102","0.540309","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=102838 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"103","0.540311","45.56.99.101","192.168.1.27","TCP","1130","80  >  51952 [PSH, ACK] Seq=104298 Ack=77 Win=64240 Len=1076 [TCP PDU reassembled in 616]"
"104","0.540607","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=105374 Win=64240 Len=0"
"105","0.547076","45.56.99.101","192.168.1.27","TCP","1418","80  >  51952 [PSH, ACK] Seq=105374 Ack=77 Win=64240 Len=1364 [TCP PDU reassembled in 616]"
"106","0.554270","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=106738 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"107","0.554278","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=108198 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"108","0.554280","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=109658 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"109","0.554283","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=111118 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"110","0.554287","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=112578 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"111","0.554295","45.56.99.101","192.168.1.27","TCP","938","80  >  51952 [PSH, ACK] Seq=114038 Ack=77 Win=64240 Len=884 [TCP PDU reassembled in 616]"
"112","0.554681","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=114922 Win=64240 Len=0"
"113","0.563344","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=114922 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"114","0.563348","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=116382 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"115","0.563349","45.56.99.101","192.168.1.27","TCP","1226","80  >  51952 [PSH, ACK] Seq=117842 Ack=77 Win=64240 Len=1172 [TCP PDU reassembled in 616]"
"116","0.563491","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=119014 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"117","0.563494","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=120474 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"118","0.563496","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=121934 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"119","0.563500","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=123394 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"120","0.563502","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=124854 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"121","0.563508","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=126314 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"122","0.563512","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=127774 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"123","0.563513","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=129234 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"124","0.563515","45.56.99.101","192.168.1.27","TCP","650","80  >  51952 [PSH, ACK] Seq=130694 Ack=77 Win=64240 Len=596 [TCP PDU reassembled in 616]"
"125","0.563541","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=119014 Win=64240 Len=0"
"126","0.563883","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=131290 Win=64240 Len=0"
"127","0.565153","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=131290 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"128","0.565157","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=132750 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"129","0.565159","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=134210 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"130","0.565163","45.56.99.101","192.168.1.27","TCP","1130","80  >  51952 [PSH, ACK] Seq=135670 Ack=77 Win=64240 Len=1076 [TCP PDU reassembled in 616]"
"131","0.565344","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=136746 Win=64240 Len=0"
"132","0.579277","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=136746 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"133","0.579282","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=138206 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"134","0.579283","45.56.99.101","192.168.1.27","TCP","1226","80  >  51952 [PSH, ACK] Seq=139666 Ack=77 Win=64240 Len=1172 [TCP PDU reassembled in 616]"
"135","0.579341","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=140838 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"136","0.579346","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=142298 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"137","0.579347","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=143758 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"138","0.579350","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=145218 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"139","0.579351","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=146678 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"140","0.579353","45.56.99.101","192.168.1.27","TCP","938","80  >  51952 [PSH, ACK] Seq=148138 Ack=77 Win=64240 Len=884 [TCP PDU reassembled in 616]"
"141","0.579635","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=149022 Win=64240 Len=0"
"142","0.579995","45.56.99.101","192.168.1.27","TCP","1418","80  >  51952 [PSH, ACK] Seq=149022 Ack=77 Win=64240 Len=1364 [TCP PDU reassembled in 616]"
"143","0.595143","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=150386 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"144","0.595147","45.56.99.101","192.168.1.27","TCP","1322","80  >  51952 [PSH, ACK] Seq=151846 Ack=77 Win=64240 Len=1268 [TCP PDU reassembled in 616]"
"145","0.595317","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=153114 Win=64240 Len=0"
"146","0.605309","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=153114 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"147","0.605314","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=154574 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"148","0.605316","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=156034 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"149","0.605318","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=157494 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"150","0.605321","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=158954 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"151","0.605327","45.56.99.101","192.168.1.27","TCP","938","80  >  51952 [PSH, ACK] Seq=160414 Ack=77 Win=64240 Len=884 [TCP PDU reassembled in 616]"
"152","0.605640","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=161298 Win=64240 Len=0"
"153","0.635319","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=161298 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"154","0.635330","45.56.99.101","192.168.1.27","TCP","1322","80  >  51952 [PSH, ACK] Seq=162758 Ack=77 Win=64240 Len=1268 [TCP PDU reassembled in 616]"
"155","0.635723","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=164026 Win=64240 Len=0"
"156","0.636230","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=164026 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"157","0.636238","45.56.99.101","192.168.1.27","TCP","1322","80  >  51952 [PSH, ACK] Seq=165486 Ack=77 Win=64240 Len=1268 [TCP PDU reassembled in 616]"
"158","0.636466","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=166754 Win=64240 Len=0"
"159","0.653571","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=166754 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"160","0.653582","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=168214 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"161","0.653586","45.56.99.101","192.168.1.27","TCP","1226","80  >  51952 [PSH, ACK] Seq=169674 Ack=77 Win=64240 Len=1172 [TCP PDU reassembled in 616]"
"162","0.653932","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=170846 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"163","0.654003","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=172306 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"164","0.654015","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=173766 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"165","0.654018","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=175226 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"166","0.654022","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=176686 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"167","0.654039","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=170846 Win=64240 Len=0"
"168","0.654050","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=178146 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"169","0.654063","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=179606 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"170","0.654069","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=181066 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
